X Y Z R G B
9.565528903357604917e-02 -5.039559224663444637e-01 -7.733921489518873038e+00 6.000000000000000000e+01 3.700000000000000000e+01 2.000000000000000000e+01
6.561771715635068558e-01 -6.449272897039938675e-03 -2.796604972649557208e+00 3.500000000000000000e+01 3.300000000000000000e+01 3.400000000000000000e+01
1.103687348207213897e-01 -4.832200782529181282e-01 -7.878658202654912124e+00 6.100000000000000000e+01 4.500000000000000000e+01 3.700000000000000000e+01
2.008272573709267428e-01 -4.296013907659810283e-01 -6.495962553614507584e+00 1.370000000000000000e+02 1.150000000000000000e+02 7.600000000000000000e+01
7.592684283966457670e-01 -9.351600357602063429e-01 -6.253379891486640751e+00 6.300000000000000000e+01 4.900000000000000000e+01 4.400000000000000000e+01
-2.463914834997952066e-02 -2.237918414472023443e+00 -2.691972346777396385e+00 2.900000000000000000e+01 5.800000000000000000e+01 3.300000000000000000e+01
6.237902220852685753e-01 -9.155182349520902818e-01 -5.914270286564738299e+00 8.100000000000000000e+01 7.000000000000000000e+01 5.900000000000000000e+01
2.227389496414750869e-01 -5.861221551278366082e-01 -8.214823081344178490e+00 1.040000000000000000e+02 8.000000000000000000e+01 5.400000000000000000e+01
2.728198807773802304e-01 -5.846906809356130497e-01 -8.628455946761711459e+00 1.030000000000000000e+02 8.000000000000000000e+01 5.400000000000000000e+01
3.373381804023761199e-01 -5.768125069939817884e-01 -7.897691614869704502e+00 6.900000000000000000e+01 5.100000000000000000e+01 4.100000000000000000e+01
5.197276288245374909e-01 -7.547848526653756496e-01 -6.418315652714927211e+00 4.400000000000000000e+01 3.900000000000000000e+01 3.500000000000000000e+01
1.604521050861530337e-02 -7.315593004922990028e-01 -2.936870922185245369e+00 1.150000000000000000e+02 1.260000000000000000e+02 8.300000000000000000e+01
1.052461071535078785e-01 -5.610970346330041991e-01 -8.429778420219511403e+00 7.800000000000000000e+01 5.600000000000000000e+01 3.500000000000000000e+01
-3.937431043099709482e-01 -3.021700603878814118e-01 -8.408981249320847340e+00 8.100000000000000000e+01 5.800000000000000000e+01 3.900000000000000000e+01
6.372817979977424274e-01 -9.564326492911902067e-01 -6.119614329353564308e+00 6.500000000000000000e+01 4.900000000000000000e+01 4.600000000000000000e+01
9.951246413809506156e-03 -8.584998029595273250e-01 -2.341630818422164140e+00 5.300000000000000000e+01 5.100000000000000000e+01 2.800000000000000000e+01
3.803844475548809334e-01 -1.109328759962179722e+00 -7.384249676442204091e+00 8.500000000000000000e+01 6.000000000000000000e+01 5.300000000000000000e+01
3.139438994340322253e-01 -3.147158705273594981e-01 -8.287183772076541999e+00 3.500000000000000000e+01 2.200000000000000000e+01 1.300000000000000000e+01
3.439382504721203992e-01 -1.143781116076941329e+00 -6.951005727166414516e+00 9.400000000000000000e+01 7.000000000000000000e+01 6.400000000000000000e+01
1.704801438746156028e-01 -1.574793422657708442e-01 -3.263590660435639723e+00 1.780000000000000000e+02 1.420000000000000000e+02 3.200000000000000000e+01
2.583620343217152837e-01 -1.132293593312132085e+00 -4.754390245522355229e+00 1.280000000000000000e+02 1.410000000000000000e+02 1.060000000000000000e+02
1.560529875651907317e-01 -1.639311883104431211e-01 -4.407992950433203383e+00 1.170000000000000000e+02 9.500000000000000000e+01 4.300000000000000000e+01
2.511586951502899345e-01 -5.953960204274291179e-01 -4.861842371109046823e+00 1.500000000000000000e+02 1.290000000000000000e+02 6.700000000000000000e+01
-4.017593437042506488e-01 -8.853602746103782506e-01 -2.100395279490697042e+00 1.390000000000000000e+02 1.650000000000000000e+02 9.000000000000000000e+01
4.874404692279165480e-02 -8.852631382872568899e-01 -2.794879543143958145e+00 1.190000000000000000e+02 1.310000000000000000e+02 7.600000000000000000e+01
1.038174580629555699e+00 -3.948064843726622475e-01 -4.012805586603710672e+00 4.700000000000000000e+01 3.600000000000000000e+01 2.000000000000000000e+01
6.686616282141260026e-01 -9.968511698350175365e-01 -3.625874729828668208e+00 7.600000000000000000e+01 9.800000000000000000e+01 6.400000000000000000e+01
4.755770524798144105e-01 -2.777124261604674849e-01 -4.271292874247155424e+00 4.900000000000000000e+01 3.600000000000000000e+01 2.100000000000000000e+01
-7.025183542592401686e-02 -3.967134011972054952e-01 -4.303659399366061677e+00 1.350000000000000000e+02 1.200000000000000000e+02 5.400000000000000000e+01
3.988708246652069023e-01 -1.258569499992441498e+00 -4.683596494483609263e+00 1.300000000000000000e+02 1.420000000000000000e+02 1.140000000000000000e+02
-8.378355512182470433e-01 2.028339908807083938e-02 -8.700601913684881339e+00 4.200000000000000000e+01 2.500000000000000000e+01 1.800000000000000000e+01
1.042008865441595322e+00 -7.412319232640428579e-01 -5.318828244319758980e+00 5.300000000000000000e+01 3.600000000000000000e+01 2.700000000000000000e+01
-8.412423718798618319e-03 -5.230455418747302909e-01 -7.397168673399236560e+00 1.220000000000000000e+02 9.500000000000000000e+01 5.500000000000000000e+01
1.968293900588845569e-01 -4.507104217969621351e-01 -3.733326828611738701e+00 1.710000000000000000e+02 1.400000000000000000e+02 4.600000000000000000e+01
8.192878206190621349e-01 -7.937514478540262930e-01 -6.014682628676384368e+00 7.400000000000000000e+01 6.300000000000000000e+01 5.500000000000000000e+01
1.315595705035143836e-01 -4.965634033366987388e-01 -3.849825310361528086e+00 1.130000000000000000e+02 1.050000000000000000e+02 5.300000000000000000e+01
2.698955789040740072e-01 -5.520430126342508181e-01 -6.030168045556856704e+00 1.260000000000000000e+02 9.600000000000000000e+01 5.300000000000000000e+01
6.768618744677400434e-01 -9.437232566517094190e-01 -5.448079567378946386e+00 2.600000000000000000e+01 2.500000000000000000e+01 1.500000000000000000e+01
-2.860967328806583443e-01 -4.624637828765388314e-01 -7.864343541143539618e+00 1.530000000000000000e+02 1.290000000000000000e+02 8.600000000000000000e+01
5.336563449946786497e-02 -1.134719508653396908e-01 -3.785677651210076267e+00 1.730000000000000000e+02 1.360000000000000000e+02 4.200000000000000000e+01
-2.580195108467793763e-01 -3.092098170593041151e-01 -7.541118110574259958e+00 1.480000000000000000e+02 1.250000000000000000e+02 8.900000000000000000e+01
-3.262391761264311074e-01 -1.441002343477277847e-01 -7.639173637080020285e+00 3.800000000000000000e+01 2.500000000000000000e+01 1.400000000000000000e+01
-8.843071335309740100e-01 -1.058128214766367758e+00 -1.462599682878740426e+00 1.170000000000000000e+02 1.560000000000000000e+02 9.900000000000000000e+01
6.332225771968413852e-01 -9.805579990269552848e-01 -6.835092609699364274e+00 5.500000000000000000e+01 3.800000000000000000e+01 4.300000000000000000e+01
5.914390286376717265e-01 -9.241581678073829131e-01 -7.261664923236883951e+00 5.400000000000000000e+01 4.000000000000000000e+01 4.200000000000000000e+01
6.010963465417271667e-01 -9.781091665895899068e-01 -8.714574051721317716e+00 4.500000000000000000e+01 2.400000000000000000e+01 2.000000000000000000e+01
7.843549023803371156e-01 -1.111910511556928771e+00 -5.128402132143985881e+00 3.800000000000000000e+01 4.400000000000000000e+01 3.000000000000000000e+01
2.304075192655541671e-01 -7.398771342319875322e-01 -4.878912632502079738e+00 1.380000000000000000e+02 1.180000000000000000e+02 6.000000000000000000e+01
2.063281913473385409e-01 -8.721958905015309016e-01 -3.729617797121428158e+00 1.310000000000000000e+02 1.260000000000000000e+02 6.300000000000000000e+01
3.643111200476578659e-01 -1.737564201796823360e+00 -3.263659679760153143e+00 1.060000000000000000e+02 1.310000000000000000e+02 8.600000000000000000e+01
-3.448891625403808781e-01 -9.020368712192823324e-01 -2.125696450479963140e+00 1.270000000000000000e+02 1.530000000000000000e+02 9.200000000000000000e+01
5.406321482259888178e-01 -4.227763579037539521e-01 -2.781914524369375918e+00 1.740000000000000000e+02 1.420000000000000000e+02 6.600000000000000000e+01
2.462252474412967296e-01 -8.435153993659709748e-01 -6.843318453411195712e+00 8.200000000000000000e+01 6.200000000000000000e+01 5.400000000000000000e+01
4.192410674858695896e-02 -5.092012035040335283e-01 -2.368683016375246808e+00 9.000000000000000000e+01 9.800000000000000000e+01 6.200000000000000000e+01
4.288294196726538110e-01 -1.010404099236350328e+00 -5.896034389294248612e+00 1.050000000000000000e+02 9.400000000000000000e+01 8.300000000000000000e+01
-6.469953230953922052e-01 -4.517942530226063402e-01 -1.919746592245443750e+00 1.220000000000000000e+02 1.550000000000000000e+02 1.060000000000000000e+02
-7.033082569751303303e-01 -4.063655996096174339e-01 -8.707876845328453186e+00 6.000000000000000000e+01 3.900000000000000000e+01 2.400000000000000000e+01
-4.532385125421282274e-02 -4.013605594284782585e-01 -8.479588393549004621e+00 7.700000000000000000e+01 5.700000000000000000e+01 4.700000000000000000e+01
3.027835684728494847e-01 -6.963451854638760263e-01 -3.924167056734593206e+00 1.590000000000000000e+02 1.370000000000000000e+02 5.000000000000000000e+01
1.163847218208184264e+00 -9.076656048614344385e-01 -4.836753323977722729e+00 1.100000000000000000e+02 9.600000000000000000e+01 6.800000000000000000e+01
3.477163012869446401e-01 -5.946649516600078789e-01 -3.233603975233206196e+00 1.650000000000000000e+02 1.480000000000000000e+02 7.000000000000000000e+01
3.085579261888200808e-02 -5.261180945767296446e-01 -7.175546791473657038e+00 1.320000000000000000e+02 1.050000000000000000e+02 6.300000000000000000e+01
3.589022029027238436e-01 -5.711684416805202780e-01 -4.175987801327790905e+00 1.650000000000000000e+02 1.380000000000000000e+02 5.600000000000000000e+01
3.575525333623121305e-01 -1.358312126825526489e+00 -3.594507684939583392e+00 9.300000000000000000e+01 1.120000000000000000e+02 7.200000000000000000e+01
2.458162509858583533e-01 -3.249099577489723001e-01 -2.327288039912183581e+00 3.700000000000000000e+01 5.400000000000000000e+01 3.000000000000000000e+01
4.229501793870437121e-01 -1.306068679533597399e+00 -4.992103386577721125e+00 8.500000000000000000e+01 9.100000000000000000e+01 7.200000000000000000e+01
5.472935985882132481e-01 -9.863656736440405970e-01 -6.827439371746595320e+00 7.200000000000000000e+01 5.200000000000000000e+01 6.100000000000000000e+01
5.469868579475397619e-01 -1.002152711673543140e+00 -7.277354824943265577e+00 5.900000000000000000e+01 4.400000000000000000e+01 4.500000000000000000e+01
