x y z r g b
0.329670 -1.861800 -0.272145 177 191 173
-0.146815 -1.369861 -0.255847 148 180 44
0.051167 -0.943463 0.663219 117 159 97
0.348120 -2.012733 4.924612 152 187 32
-0.189713 -1.099930 -0.152674 135 169 36
-0.510533 -0.871268 1.683868 147 180 40
-0.595846 1.401047 1.799874 117 157 92
-0.026068 -1.051393 -1.942522 134 166 96
0.124807 -0.431846 3.019407 107 166 24
0.208205 -1.281149 -1.564830 144 170 101
1.919356 -5.348007 8.422777 146 179 48
-1.488755 1.808739 2.938210 133 178 45
-1.543743 -0.057323 2.206188 149 175 108
0.060923 -1.052031 -1.771171 132 163 104
-1.568216 2.667016 6.281124 142 180 73
-0.963130 0.012298 2.808885 144 179 50
0.098926 -1.238710 -1.956649 152 180 112
0.864722 -2.105446 3.816099 138 180 30
-0.026689 -3.270488 6.618273 131 166 66
0.758077 -2.254227 5.545734 154 183 65
-0.095815 -1.082865 -0.768118 129 162 56
-0.072706 -1.239306 -1.061727 135 170 55
0.528245 -1.225697 3.202063 121 165 75
0.588752 -0.744942 -1.780164 187 159 101
-0.117828 -0.811103 -2.003505 128 154 83
-0.687823 -0.886738 2.395311 159 189 34
-0.028330 -0.266335 -1.127287 138 157 81
0.126023 -0.954756 0.083861 112 158 95
-0.649797 1.744353 6.015628 142 162 100
0.132413 -1.173177 -0.118942 127 162 111
0.299675 -1.482382 2.611225 117 158 57
-1.524639 2.449202 6.388065 142 183 60
0.073051 -1.236356 -2.164105 156 183 116
-1.427979 1.269014 1.690627 119 154 72
-0.191763 -1.292846 -0.123132 139 173 37
0.402901 -4.232398 7.473900 141 176 94
1.512926 -5.109272 8.599300 157 183 128
1.592569 -3.890728 0.292955 133 169 94
-0.453328 0.207248 4.286020 127 171 38
0.147531 -1.311590 -2.226129 155 177 118
-0.398389 -2.753531 4.916668 143 179 26
0.032883 -0.334514 -1.305863 161 178 99
-2.018960 1.756153 6.606950 135 176 46
-0.853623 -0.594041 2.601158 150 185 74
1.177263 -3.514274 -0.150128 132 173 96
-0.177448 -0.842953 0.017380 140 162 88
2.593413 -4.624295 0.309690 101 155 113
0.278835 -1.241356 -1.747449 145 170 109
0.422071 -1.530431 2.212201 122 155 77
-0.009135 -1.039088 -1.390032 123 159 91
-0.260126 -1.853784 1.252933 164 191 63
0.404367 -0.802432 2.349128 105 155 77
0.023376 -0.363514 4.158023 121 171 45
-0.371538 -2.242264 3.615731 126 164 77
-0.092941 -0.998104 -1.594493 130 167 91
-0.977121 0.926764 4.866684 141 181 49
-0.202039 -0.191454 -0.795634 135 174 92
0.090057 -2.763548 5.364689 139 175 67
1.755016 -4.322233 0.296908 136 175 109
0.069535 -0.828948 2.992768 108 158 35
-1.122670 -1.460414 2.830088 160 189 67
0.417987 -3.129065 6.490536 120 160 51
1.115300 -5.236887 8.216358 121 160 92
-0.012729 -1.040150 0.813121 123 163 95
-0.220699 -0.770229 0.889949 140 168 60
0.500045 -0.845688 -2.364578 145 160 95
-2.321199 1.660730 6.614207 119 164 42
-0.394786 -0.714244 -0.588842 114 154 93
0.284381 -0.663144 2.808335 140 181 28
1.103981 -3.378839 6.079738 140 179 59
2.196597 -4.711232 0.661763 134 175 109
3.010338 -5.683789 0.279195 128 164 131
-0.011684 -0.867513 -1.071124 133 159 82
-0.365820 0.921641 4.780036 141 182 38
-0.140905 -0.892860 -0.261514 140 169 86
0.360293 -1.760360 1.995080 141 161 117
-0.506272 -0.027707 -0.668242 135 166 101
2.481718 -5.117027 0.309520 133 165 124
-0.295827 -0.412957 -1.166878 141 170 113
0.041588 0.072982 3.101445 110 169 49
0.095405 -1.415837 -0.501793 133 160 75
-0.321025 -1.140627 3.173825 140 181 66
-0.299956 -0.081256 -0.563122 139 178 91
-0.183317 -0.148947 -0.715908 136 173 89
0.912165 -4.933795 8.635100 126 169 102
2.644890 -5.272084 0.803166 139 176 111
-0.873806 0.188788 4.272193 130 170 45
0.615155 -0.151585 3.510162 143 181 37
-0.002674 -1.223619 -0.914630 127 161 86
0.697833 -3.665276 7.489483 128 169 49
0.162704 -1.627561 -0.883952 158 170 110
-1.376415 2.243609 2.575788 121 166 67
-1.784682 2.210046 3.502190 132 176 38
-0.072992 -0.174846 -0.582150 127 164 94
2.797814 -5.672812 0.614966 145 172 113
-0.496083 -0.594241 0.319033 118 154 106
0.581005 -2.168426 -1.048036 125 158 90
1.374902 -3.419437 -0.572679 132 171 108
2.800884 -5.428768 0.346088 125 165 122
0.389357 -2.456312 4.127829 123 158 53
-0.085661 -0.991683 -1.779340 128 162 91
-1.713406 2.198563 3.172076 131 176 38
0.031880 -5.072623 8.045720 132 169 86
-0.717763 0.664185 5.119415 165 182 128
-0.131659 -3.244998 6.797763 134 171 49
0.166365 -1.623175 -0.730877 185 202 114
0.556072 -2.163597 -1.107267 123 154 89
-0.601780 -0.095873 3.998914 137 178 31
-0.269241 -0.154754 -0.708260 140 177 97
-1.730279 1.979400 2.906543 132 176 38
0.663815 -2.858465 -1.293421 115 155 89
-1.279045 2.285504 2.832716 107 154 77
1.099464 -3.246444 7.251731 154 172 88
0.090906 -1.462134 -0.153083 127 154 85
0.147518 -0.323831 3.926693 127 174 21
-0.080819 -0.568449 -1.620657 140 163 97
3.335210 -5.169232 0.030138 100 154 110
-1.353531 1.356552 5.887573 141 181 77
-0.084495 -0.933228 -0.961688 132 166 68
0.518465 -2.616332 4.425048 153 187 31
-0.055590 -1.097609 -1.576256 135 168 100
-1.685097 2.483105 7.217524 111 166 75
-0.160649 -0.896871 -0.106280 142 168 81
2.952213 -5.954670 -0.009414 112 154 110
-0.969040 1.512962 2.036212 114 158 69
1.151864 -3.667939 7.592646 135 168 39
-1.758802 1.097128 5.848697 136 177 44
2.191948 -4.226043 -0.042783 98 158 117
0.315365 -0.603673 3.889321 137 176 29
-0.124254 -0.415307 -1.014913 128 167 85
0.729182 -1.729359 3.230677 137 178 48
-0.049475 -1.239741 2.076790 131 170 49
0.179038 0.272401 -0.343248 150 176 114
1.539117 -5.590222 8.745394 151 182 129
-0.000358 -0.298322 2.668781 108 162 54
